sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-EB-A5UL-06	TCGA-EB-A5UL-06	0	SKCM
TCGA-EB-A5UM-01	TCGA-EB-A5UM-01	0	SKCM
TCGA-EB-A5UN-06	TCGA-EB-A5UN-06	0	SKCM
TCGA-EB-A5VU-01	TCGA-EB-A5VU-01	0	SKCM
TCGA-EB-A5VV-06	TCGA-EB-A5VV-06	0	SKCM
TCGA-EB-A6QY-01	TCGA-EB-A6QY-01	0	SKCM
TCGA-EB-A6QZ-01	TCGA-EB-A6QZ-01	0	SKCM
TCGA-EB-A6R0-01	TCGA-EB-A6R0-01	0	SKCM
TCGA-EB-A82B-01	TCGA-EB-A82B-01	0	SKCM
TCGA-EB-A82C-01	TCGA-EB-A82C-01	0	SKCM
TCGA-EB-A85I-01	TCGA-EB-A85I-01	0	SKCM
TCGA-EB-A85J-01	TCGA-EB-A85J-01	0	SKCM
TCGA-EB-A97M-01	TCGA-EB-A97M-01	0	SKCM
TCGA-EE-A17X-06	TCGA-EE-A17X-06	0	SKCM
TCGA-EE-A17Y-06	TCGA-EE-A17Y-06	0	SKCM
TCGA-EE-A181-06	TCGA-EE-A181-06	0	SKCM
TCGA-EE-A182-06	TCGA-EE-A182-06	0	SKCM
TCGA-EE-A183-06	TCGA-EE-A183-06	0	SKCM
TCGA-EE-A184-06	TCGA-EE-A184-06	0	SKCM
TCGA-EE-A20B-06	TCGA-EE-A20B-06	0	SKCM
TCGA-EE-A20C-06	TCGA-EE-A20C-06	0	SKCM
TCGA-EE-A20F-06	TCGA-EE-A20F-06	0	SKCM
TCGA-EE-A20I-06	TCGA-EE-A20I-06	0	SKCM
TCGA-EE-A29A-06	TCGA-EE-A29A-06	0	SKCM
TCGA-EE-A29B-06	TCGA-EE-A29B-06	0	SKCM
TCGA-EE-A29C-06	TCGA-EE-A29C-06	0	SKCM
TCGA-EE-A29D-06	TCGA-EE-A29D-06	0	SKCM
TCGA-EE-A29E-06	TCGA-EE-A29E-06	0	SKCM
TCGA-EE-A29H-06	TCGA-EE-A29H-06	0	SKCM
TCGA-EE-A29M-06	TCGA-EE-A29M-06	0	SKCM
TCGA-EE-A29N-06	TCGA-EE-A29N-06	0	SKCM
TCGA-EE-A29P-06	TCGA-EE-A29P-06	0	SKCM
TCGA-EE-A29Q-06	TCGA-EE-A29Q-06	0	SKCM
TCGA-EE-A29R-06	TCGA-EE-A29R-06	0	SKCM
TCGA-EE-A29S-06	TCGA-EE-A29S-06	0	SKCM
TCGA-EE-A29T-06	TCGA-EE-A29T-06	0	SKCM
TCGA-EE-A29V-06	TCGA-EE-A29V-06	0	SKCM
TCGA-EE-A29W-06	TCGA-EE-A29W-06	0	SKCM
TCGA-EE-A29X-06	TCGA-EE-A29X-06	0	SKCM
TCGA-EE-A2A0-06	TCGA-EE-A2A0-06	0	SKCM
TCGA-EE-A2A1-06	TCGA-EE-A2A1-06	0	SKCM
TCGA-EE-A2A6-06	TCGA-EE-A2A6-06	0	SKCM
TCGA-EE-A2GC-06	TCGA-EE-A2GC-06	0	SKCM
TCGA-EE-A2GD-06	TCGA-EE-A2GD-06	0	SKCM
TCGA-EE-A2GH-06	TCGA-EE-A2GH-06	0	SKCM
TCGA-EE-A2GI-06	TCGA-EE-A2GI-06	0	SKCM
TCGA-EE-A2GJ-06	TCGA-EE-A2GJ-06	0	SKCM
TCGA-EE-A2GK-06	TCGA-EE-A2GK-06	0	SKCM
TCGA-EE-A2GM-06	TCGA-EE-A2GM-06	0	SKCM
TCGA-EE-A2GN-06	TCGA-EE-A2GN-06	0	SKCM
TCGA-EE-A2GO-06	TCGA-EE-A2GO-06	0	SKCM
TCGA-EE-A2GP-06	TCGA-EE-A2GP-06	0	SKCM
TCGA-EE-A2GS-06	TCGA-EE-A2GS-06	0	SKCM
TCGA-EE-A2GT-06	TCGA-EE-A2GT-06	0	SKCM
TCGA-EE-A2GU-06	TCGA-EE-A2GU-06	0	SKCM
TCGA-EE-A2M6-06	TCGA-EE-A2M6-06	0	SKCM
TCGA-EE-A2M7-06	TCGA-EE-A2M7-06	0	SKCM
TCGA-EE-A2MC-06	TCGA-EE-A2MC-06	0	SKCM
TCGA-EE-A2ME-06	TCGA-EE-A2ME-06	0	SKCM
TCGA-EE-A2MF-06	TCGA-EE-A2MF-06	0	SKCM
TCGA-EE-A2MG-06	TCGA-EE-A2MG-06	0	SKCM
TCGA-EE-A2MI-06	TCGA-EE-A2MI-06	0	SKCM
TCGA-EE-A2MJ-06	TCGA-EE-A2MJ-06	0	SKCM
TCGA-EE-A2MK-06	TCGA-EE-A2MK-06	0	SKCM
TCGA-EE-A2ML-06	TCGA-EE-A2ML-06	0	SKCM
TCGA-EE-A2MM-06	TCGA-EE-A2MM-06	0	SKCM
TCGA-EE-A2MN-06	TCGA-EE-A2MN-06	0	SKCM
TCGA-EE-A2MR-06	TCGA-EE-A2MR-06	0	SKCM
TCGA-EE-A2MS-06	TCGA-EE-A2MS-06	0	SKCM
TCGA-EE-A2MT-06	TCGA-EE-A2MT-06	0	SKCM
TCGA-EE-A2MU-06	TCGA-EE-A2MU-06	0	SKCM
TCGA-EE-A3AC-06	TCGA-EE-A3AC-06	0	SKCM
TCGA-EE-A3AE-06	TCGA-EE-A3AE-06	0	SKCM
TCGA-EE-A3AF-06	TCGA-EE-A3AF-06	0	SKCM
TCGA-EE-A3AH-06	TCGA-EE-A3AH-06	0	SKCM
TCGA-EE-A3J3-06	TCGA-EE-A3J3-06	0	SKCM
TCGA-EE-A3J4-06	TCGA-EE-A3J4-06	0	SKCM
TCGA-EE-A3J5-06	TCGA-EE-A3J5-06	0	SKCM
TCGA-EE-A3J8-06	TCGA-EE-A3J8-06	0	SKCM
TCGA-EE-A3JA-06	TCGA-EE-A3JA-06	0	SKCM
TCGA-EE-A3JB-06	TCGA-EE-A3JB-06	0	SKCM
TCGA-EE-A3JD-06	TCGA-EE-A3JD-06	0	SKCM
TCGA-EE-A3JE-06	TCGA-EE-A3JE-06	0	SKCM
TCGA-EE-A3JH-06	TCGA-EE-A3JH-06	0	SKCM
TCGA-EE-A3JI-06	TCGA-EE-A3JI-06	0	SKCM
TCGA-ER-A193-06	TCGA-ER-A193-06	0	SKCM
TCGA-ER-A194-01	TCGA-ER-A194-01	0	SKCM
TCGA-ER-A195-06	TCGA-ER-A195-06	0	SKCM
TCGA-ER-A196-01	TCGA-ER-A196-01	0	SKCM
TCGA-ER-A198-06	TCGA-ER-A198-06	0	SKCM
TCGA-ER-A199-06	TCGA-ER-A199-06	0	SKCM
TCGA-ER-A19A-06	TCGA-ER-A19A-06	0	SKCM
TCGA-ER-A19D-06	TCGA-ER-A19D-06	0	SKCM
TCGA-ER-A19F-06	TCGA-ER-A19F-06	0	SKCM
TCGA-ER-A19K-01	TCGA-ER-A19K-01	0	SKCM
TCGA-ER-A19L-06	TCGA-ER-A19L-06	0	SKCM
TCGA-ER-A19M-06	TCGA-ER-A19M-06	0	SKCM
TCGA-ER-A19N-06	TCGA-ER-A19N-06	0	SKCM
TCGA-ER-A19O-06	TCGA-ER-A19O-06	0	SKCM
TCGA-ER-A19Q-06	TCGA-ER-A19Q-06	0	SKCM
TCGA-ER-A19S-06	TCGA-ER-A19S-06	0	SKCM
TCGA-ER-A19T-01	TCGA-ER-A19T-01	0	SKCM
TCGA-ER-A19T-06	TCGA-ER-A19T-06	0	SKCM
TCGA-ER-A19W-06	TCGA-ER-A19W-06	0	SKCM
TCGA-ER-A1A1-06	TCGA-ER-A1A1-06	0	SKCM
TCGA-ER-A2NB-01	TCGA-ER-A2NB-01	0	SKCM
TCGA-ER-A2NC-06	TCGA-ER-A2NC-06	0	SKCM
TCGA-ER-A2ND-06	TCGA-ER-A2ND-06	0	SKCM
TCGA-ER-A2NF-01	TCGA-ER-A2NF-01	0	SKCM
TCGA-ER-A2NF-06	TCGA-ER-A2NF-06	0	SKCM
TCGA-ER-A2NH-06	TCGA-ER-A2NH-06	0	SKCM
TCGA-ER-A3ES-06	TCGA-ER-A3ES-06	0	SKCM
TCGA-ER-A3ET-06	TCGA-ER-A3ET-06	0	SKCM
TCGA-ER-A3EV-06	TCGA-ER-A3EV-06	0	SKCM
TCGA-ER-A3PL-06	TCGA-ER-A3PL-06	0	SKCM
TCGA-ER-A42K-06	TCGA-ER-A42K-06	0	SKCM
TCGA-ER-A42L-06	TCGA-ER-A42L-06	0	SKCM
TCGA-FR-A3R1-01	TCGA-FR-A3R1-01	0	SKCM
TCGA-FR-A3YN-06	TCGA-FR-A3YN-06	0	SKCM
TCGA-FR-A3YO-06	TCGA-FR-A3YO-06	0	SKCM
TCGA-FR-A44A-06	TCGA-FR-A44A-06	0	SKCM
TCGA-FR-A69P-06	TCGA-FR-A69P-06	0	SKCM
TCGA-FR-A726-01	TCGA-FR-A726-01	0	SKCM
TCGA-FR-A728-01	TCGA-FR-A728-01	0	SKCM
TCGA-FR-A729-06	TCGA-FR-A729-06	0	SKCM
TCGA-FR-A7U8-06	TCGA-FR-A7U8-06	0	SKCM
TCGA-FR-A7U9-06	TCGA-FR-A7U9-06	0	SKCM
TCGA-FR-A7UA-06	TCGA-FR-A7UA-06	0	SKCM
TCGA-FR-A8YD-06	TCGA-FR-A8YD-06	0	SKCM
TCGA-FR-A8YE-06	TCGA-FR-A8YE-06	0	SKCM
TCGA-FS-A1YX-06	TCGA-FS-A1YX-06	0	SKCM
TCGA-FS-A1Z0-06	TCGA-FS-A1Z0-06	0	SKCM
TCGA-FS-A1Z3-06	TCGA-FS-A1Z3-06	0	SKCM
TCGA-FS-A1Z4-06	TCGA-FS-A1Z4-06	0	SKCM
TCGA-FS-A1ZD-06	TCGA-FS-A1ZD-06	0	SKCM
TCGA-FS-A1ZE-06	TCGA-FS-A1ZE-06	0	SKCM
TCGA-FS-A1ZG-06	TCGA-FS-A1ZG-06	0	SKCM
TCGA-FS-A1ZH-06	TCGA-FS-A1ZH-06	0	SKCM
TCGA-FS-A1ZJ-06	TCGA-FS-A1ZJ-06	0	SKCM
TCGA-FS-A1ZK-06	TCGA-FS-A1ZK-06	0	SKCM
TCGA-FS-A1ZN-01	TCGA-FS-A1ZN-01	0	SKCM
TCGA-FS-A1ZP-06	TCGA-FS-A1ZP-06	0	SKCM
TCGA-FS-A1ZQ-06	TCGA-FS-A1ZQ-06	0	SKCM
TCGA-FS-A1ZR-06	TCGA-FS-A1ZR-06	0	SKCM
TCGA-FS-A1ZS-06	TCGA-FS-A1ZS-06	0	SKCM
TCGA-FS-A1ZT-06	TCGA-FS-A1ZT-06	0	SKCM
TCGA-FS-A1ZU-06	TCGA-FS-A1ZU-06	0	SKCM
TCGA-FS-A1ZY-06	TCGA-FS-A1ZY-06	0	SKCM
TCGA-FS-A4F0-06	TCGA-FS-A4F0-06	0	SKCM
TCGA-FS-A4F2-06	TCGA-FS-A4F2-06	0	SKCM
TCGA-FS-A4F4-06	TCGA-FS-A4F4-06	0	SKCM
TCGA-FS-A4F5-06	TCGA-FS-A4F5-06	0	SKCM
TCGA-FS-A4F8-06	TCGA-FS-A4F8-06	0	SKCM
TCGA-FS-A4F9-06	TCGA-FS-A4F9-06	0	SKCM
TCGA-FS-A4FB-06	TCGA-FS-A4FB-06	0	SKCM
TCGA-FS-A4FC-06	TCGA-FS-A4FC-06	0	SKCM
TCGA-FW-A3I3-06	TCGA-FW-A3I3-06	0	SKCM
TCGA-FW-A3R5-06	TCGA-FW-A3R5-06	0	SKCM
TCGA-FW-A3TU-06	TCGA-FW-A3TU-06	0	SKCM
TCGA-FW-A3TV-06	TCGA-FW-A3TV-06	0	SKCM
TCGA-FW-A5DX-01	TCGA-FW-A5DX-01	0	SKCM
TCGA-FW-A5DY-06	TCGA-FW-A5DY-06	0	SKCM
TCGA-GF-A2C7-01	TCGA-GF-A2C7-01	0	SKCM
TCGA-GF-A3OT-06	TCGA-GF-A3OT-06	0	SKCM
TCGA-GF-A4EO-06	TCGA-GF-A4EO-06	0	SKCM
TCGA-GF-A6C8-06	TCGA-GF-A6C8-06	0	SKCM
TCGA-GF-A6C9-06	TCGA-GF-A6C9-06	0	SKCM
TCGA-GF-A769-01	TCGA-GF-A769-01	0	SKCM
TCGA-GN-A262-06	TCGA-GN-A262-06	0	SKCM
TCGA-GN-A263-01	TCGA-GN-A263-01	0	SKCM
TCGA-GN-A264-06	TCGA-GN-A264-06	0	SKCM
TCGA-GN-A265-06	TCGA-GN-A265-06	0	SKCM
TCGA-GN-A266-06	TCGA-GN-A266-06	0	SKCM
TCGA-GN-A267-06	TCGA-GN-A267-06	0	SKCM
TCGA-GN-A26A-06	TCGA-GN-A26A-06	0	SKCM
TCGA-GN-A26C-01	TCGA-GN-A26C-01	0	SKCM
TCGA-GN-A26D-06	TCGA-GN-A26D-06	0	SKCM
TCGA-GN-A4U3-06	TCGA-GN-A4U3-06	0	SKCM
TCGA-GN-A4U4-06	TCGA-GN-A4U4-06	0	SKCM
TCGA-GN-A4U5-01	TCGA-GN-A4U5-01	0	SKCM
TCGA-GN-A4U7-06	TCGA-GN-A4U7-06	0	SKCM
TCGA-GN-A4U8-06	TCGA-GN-A4U8-06	0	SKCM
TCGA-GN-A4U8-11	TCGA-GN-A4U8-11	0	SKCM
TCGA-GN-A4U9-06	TCGA-GN-A4U9-06	0	SKCM
TCGA-GN-A8LK-06	TCGA-GN-A8LK-06	0	SKCM
TCGA-HR-A2OG-06	TCGA-HR-A2OG-06	0	SKCM
TCGA-HR-A2OH-06	TCGA-HR-A2OH-06	0	SKCM
TCGA-HR-A5NC-01	TCGA-HR-A5NC-01	0	SKCM
TCGA-IH-A3EA-01	TCGA-IH-A3EA-01	0	SKCM
TCGA-LH-A9QB-06	TCGA-LH-A9QB-06	0	SKCM
TCGA-OD-A75X-06	TCGA-OD-A75X-06	0	SKCM
TCGA-QB-A6FS-06	TCGA-QB-A6FS-06	0	SKCM
TCGA-QB-AA9O-06	TCGA-QB-AA9O-06	0	SKCM
TCGA-RP-A690-06	TCGA-RP-A690-06	0	SKCM
TCGA-RP-A693-06	TCGA-RP-A693-06	0	SKCM
TCGA-RP-A694-06	TCGA-RP-A694-06	0	SKCM
TCGA-RP-A695-06	TCGA-RP-A695-06	0	SKCM
TCGA-RP-A6K9-06	TCGA-RP-A6K9-06	0	SKCM
TCGA-W3-A824-06	TCGA-W3-A824-06	0	SKCM
TCGA-W3-A825-06	TCGA-W3-A825-06	0	SKCM
TCGA-W3-A828-06	TCGA-W3-A828-06	0	SKCM
TCGA-W3-AA1O-06	TCGA-W3-AA1O-06	0	SKCM
TCGA-W3-AA1Q-06	TCGA-W3-AA1Q-06	0	SKCM
TCGA-W3-AA1R-06	TCGA-W3-AA1R-06	0	SKCM
TCGA-W3-AA1W-06	TCGA-W3-AA1W-06	0	SKCM
TCGA-W3-AA21-06	TCGA-W3-AA21-06	0	SKCM
TCGA-WE-A8K1-06	TCGA-WE-A8K1-06	0	SKCM
TCGA-WE-A8K6-06	TCGA-WE-A8K6-06	0	SKCM
TCGA-WE-A8ZO-06	TCGA-WE-A8ZO-06	0	SKCM
TCGA-WE-A8ZQ-06	TCGA-WE-A8ZQ-06	0	SKCM
TCGA-WE-A8ZR-06	TCGA-WE-A8ZR-06	0	SKCM
TCGA-WE-A8ZT-06	TCGA-WE-A8ZT-06	0	SKCM
TCGA-WE-A8ZX-06	TCGA-WE-A8ZX-06	0	SKCM
TCGA-WE-AA9Y-06	TCGA-WE-AA9Y-06	0	SKCM
TCGA-WE-AAA0-06	TCGA-WE-AAA0-06	0	SKCM
TCGA-WE-AAA3-06	TCGA-WE-AAA3-06	0	SKCM
TCGA-WE-AAA4-06	TCGA-WE-AAA4-06	0	SKCM
TCGA-XV-A9VZ-01	TCGA-XV-A9VZ-01	0	SKCM
TCGA-XV-A9W2-01	TCGA-XV-A9W2-01	0	SKCM
TCGA-XV-A9W5-01	TCGA-XV-A9W5-01	0	SKCM
TCGA-XV-AAZV-01	TCGA-XV-AAZV-01	0	SKCM
TCGA-XV-AAZW-01	TCGA-XV-AAZW-01	0	SKCM
TCGA-XV-AAZY-01	TCGA-XV-AAZY-01	0	SKCM
TCGA-XV-AB01-01	TCGA-XV-AB01-01	0	SKCM
TCGA-YD-A89C-06	TCGA-YD-A89C-06	0	SKCM
TCGA-YD-A9TB-06	TCGA-YD-A9TB-06	0	SKCM
TCGA-YG-AA3N-01	TCGA-YG-AA3N-01	0	SKCM
TCGA-YG-AA3O-06	TCGA-YG-AA3O-06	0	SKCM
TCGA-YG-AA3P-06	TCGA-YG-AA3P-06	0	SKCM
TCGA-Z2-AA3S-06	TCGA-Z2-AA3S-06	0	SKCM
TCGA-Z2-AA3V-06	TCGA-Z2-AA3V-06	0	SKCM
TCGA-3B-A9HI-01	TCGA-3B-A9HI-01	0	SARC
TCGA-3B-A9HJ-01	TCGA-3B-A9HJ-01	0	SARC
TCGA-3B-A9HO-01	TCGA-3B-A9HO-01	0	SARC
TCGA-3B-A9HP-01	TCGA-3B-A9HP-01	0	SARC
TCGA-3B-A9HQ-01	TCGA-3B-A9HQ-01	0	SARC
TCGA-3B-A9HR-01	TCGA-3B-A9HR-01	0	SARC
TCGA-3B-A9HS-01	TCGA-3B-A9HS-01	0	SARC
TCGA-3B-A9HT-01	TCGA-3B-A9HT-01	0	SARC
TCGA-3B-A9HU-01	TCGA-3B-A9HU-01	0	SARC
TCGA-3B-A9HV-01	TCGA-3B-A9HV-01	0	SARC
TCGA-3B-A9HY-01	TCGA-3B-A9HY-01	0	SARC
TCGA-3B-A9HZ-01	TCGA-3B-A9HZ-01	0	SARC
TCGA-3B-A9I0-01	TCGA-3B-A9I0-01	0	SARC
TCGA-3B-A9I1-01	TCGA-3B-A9I1-01	0	SARC
TCGA-3R-A8YX-01	TCGA-3R-A8YX-01	0	SARC
TCGA-DX-A1KU-01	TCGA-DX-A1KU-01	0	SARC
TCGA-DX-A1KX-01	TCGA-DX-A1KX-01	0	SARC
TCGA-DX-A1KY-01	TCGA-DX-A1KY-01	0	SARC
TCGA-DX-A1KZ-01	TCGA-DX-A1KZ-01	0	SARC
TCGA-DX-A1L0-01	TCGA-DX-A1L0-01	0	SARC
TCGA-DX-A1L1-01	TCGA-DX-A1L1-01	0	SARC
TCGA-DX-A1L2-01	TCGA-DX-A1L2-01	0	SARC
TCGA-DX-A1L3-01	TCGA-DX-A1L3-01	0	SARC
TCGA-DX-A1L4-01	TCGA-DX-A1L4-01	0	SARC
TCGA-DX-A23R-01	TCGA-DX-A23R-01	0	SARC
TCGA-DX-A23T-01	TCGA-DX-A23T-01	0	SARC
TCGA-DX-A23U-01	TCGA-DX-A23U-01	0	SARC
TCGA-DX-A23V-01	TCGA-DX-A23V-01	0	SARC
TCGA-DX-A23Y-01	TCGA-DX-A23Y-01	0	SARC
TCGA-DX-A23Z-01	TCGA-DX-A23Z-01	0	SARC
TCGA-DX-A240-01	TCGA-DX-A240-01	0	SARC
TCGA-DX-A2IZ-01	TCGA-DX-A2IZ-01	0	SARC
TCGA-DX-A2J1-01	TCGA-DX-A2J1-01	0	SARC
TCGA-DX-A2J4-01	TCGA-DX-A2J4-01	0	SARC
TCGA-DX-A3LS-01	TCGA-DX-A3LS-01	0	SARC
TCGA-DX-A3LT-01	TCGA-DX-A3LT-01	0	SARC
TCGA-DX-A3LU-01	TCGA-DX-A3LU-01	0	SARC
TCGA-DX-A3LW-01	TCGA-DX-A3LW-01	0	SARC
TCGA-DX-A3LY-01	TCGA-DX-A3LY-01	0	SARC
TCGA-DX-A3M1-01	TCGA-DX-A3M1-01	0	SARC
TCGA-DX-A3M2-01	TCGA-DX-A3M2-01	0	SARC
TCGA-DX-A3U5-01	TCGA-DX-A3U5-01	0	SARC
TCGA-DX-A3U6-01	TCGA-DX-A3U6-01	0	SARC
TCGA-DX-A3U8-01	TCGA-DX-A3U8-01	0	SARC
TCGA-DX-A3U9-01	TCGA-DX-A3U9-01	0	SARC
TCGA-DX-A3UA-01	TCGA-DX-A3UA-01	0	SARC
TCGA-DX-A3UB-01	TCGA-DX-A3UB-01	0	SARC
TCGA-DX-A3UC-01	TCGA-DX-A3UC-01	0	SARC
TCGA-DX-A3UD-01	TCGA-DX-A3UD-01	0	SARC
TCGA-DX-A3UE-01	TCGA-DX-A3UE-01	0	SARC
TCGA-DX-A3UF-01	TCGA-DX-A3UF-01	0	SARC
TCGA-DX-A48J-01	TCGA-DX-A48J-01	0	SARC
TCGA-DX-A48K-01	TCGA-DX-A48K-01	0	SARC
TCGA-DX-A48L-01	TCGA-DX-A48L-01	0	SARC
TCGA-DX-A48N-01	TCGA-DX-A48N-01	0	SARC
TCGA-DX-A48O-01	TCGA-DX-A48O-01	0	SARC
TCGA-DX-A48P-01	TCGA-DX-A48P-01	0	SARC
TCGA-DX-A48R-01	TCGA-DX-A48R-01	0	SARC
TCGA-DX-A48U-01	TCGA-DX-A48U-01	0	SARC
TCGA-DX-A6B7-01	TCGA-DX-A6B7-01	0	SARC
TCGA-DX-A6B8-01	TCGA-DX-A6B8-01	0	SARC
TCGA-DX-A6B9-01	TCGA-DX-A6B9-01	0	SARC
TCGA-DX-A6BA-01	TCGA-DX-A6BA-01	0	SARC
TCGA-DX-A6BB-01	TCGA-DX-A6BB-01	0	SARC
TCGA-DX-A6BE-01	TCGA-DX-A6BE-01	0	SARC
TCGA-DX-A6BF-01	TCGA-DX-A6BF-01	0	SARC
TCGA-DX-A6BH-01	TCGA-DX-A6BH-01	0	SARC
TCGA-DX-A6YR-01	TCGA-DX-A6YR-01	0	SARC
TCGA-DX-A6YS-01	TCGA-DX-A6YS-01	0	SARC
TCGA-DX-A6YT-01	TCGA-DX-A6YT-01	0	SARC
TCGA-DX-A6YV-01	TCGA-DX-A6YV-01	0	SARC
TCGA-DX-A6YZ-01	TCGA-DX-A6YZ-01	0	SARC
TCGA-DX-A6Z2-01	TCGA-DX-A6Z2-01	0	SARC
TCGA-DX-A7EF-01	TCGA-DX-A7EF-01	0	SARC
TCGA-DX-A7EL-01	TCGA-DX-A7EL-01	0	SARC
TCGA-DX-A7EM-01	TCGA-DX-A7EM-01	0	SARC
TCGA-DX-A7EN-01	TCGA-DX-A7EN-01	0	SARC
TCGA-DX-A7EO-01	TCGA-DX-A7EO-01	0	SARC
TCGA-DX-A7EQ-01	TCGA-DX-A7EQ-01	0	SARC
TCGA-DX-A7ES-01	TCGA-DX-A7ES-01	0	SARC
TCGA-DX-A7ET-01	TCGA-DX-A7ET-01	0	SARC
TCGA-DX-A7EU-01	TCGA-DX-A7EU-01	0	SARC
TCGA-DX-A8BG-01	TCGA-DX-A8BG-01	0	SARC
TCGA-DX-A8BH-01	TCGA-DX-A8BH-01	0	SARC
TCGA-DX-A8BJ-01	TCGA-DX-A8BJ-01	0	SARC
TCGA-DX-A8BK-01	TCGA-DX-A8BK-01	0	SARC
TCGA-DX-A8BL-01	TCGA-DX-A8BL-01	0	SARC
TCGA-DX-A8BM-01	TCGA-DX-A8BM-01	0	SARC
TCGA-DX-A8BN-01	TCGA-DX-A8BN-01	0	SARC
TCGA-DX-A8BO-01	TCGA-DX-A8BO-01	0	SARC
TCGA-DX-A8BP-01	TCGA-DX-A8BP-01	0	SARC
TCGA-DX-A8BQ-01	TCGA-DX-A8BQ-01	0	SARC
TCGA-DX-A8BR-01	TCGA-DX-A8BR-01	0	SARC
TCGA-DX-A8BT-01	TCGA-DX-A8BT-01	0	SARC
TCGA-DX-A8BU-01	TCGA-DX-A8BU-01	0	SARC
TCGA-DX-A8BV-01	TCGA-DX-A8BV-01	0	SARC
TCGA-DX-A8BX-01	TCGA-DX-A8BX-01	0	SARC
TCGA-DX-A8BZ-01	TCGA-DX-A8BZ-01	0	SARC
TCGA-DX-AB2E-01	TCGA-DX-AB2E-01	0	SARC
TCGA-DX-AB2F-01	TCGA-DX-AB2F-01	0	SARC
TCGA-DX-AB2G-01	TCGA-DX-AB2G-01	0	SARC
TCGA-DX-AB2H-01	TCGA-DX-AB2H-01	0	SARC
TCGA-DX-AB2J-01	TCGA-DX-AB2J-01	0	SARC
TCGA-DX-AB2O-01	TCGA-DX-AB2O-01	0	SARC
TCGA-DX-AB2P-01	TCGA-DX-AB2P-01	0	SARC
TCGA-DX-AB2S-01	TCGA-DX-AB2S-01	0	SARC
TCGA-DX-AB2T-01	TCGA-DX-AB2T-01	0	SARC
TCGA-DX-AB2V-01	TCGA-DX-AB2V-01	0	SARC
TCGA-DX-AB2W-01	TCGA-DX-AB2W-01	0	SARC
TCGA-DX-AB2Z-01	TCGA-DX-AB2Z-01	0	SARC
TCGA-DX-AB36-01	TCGA-DX-AB36-01	0	SARC
TCGA-DX-AB37-01	TCGA-DX-AB37-01	0	SARC
TCGA-DX-AB3A-01	TCGA-DX-AB3A-01	0	SARC
TCGA-DX-AB3B-01	TCGA-DX-AB3B-01	0	SARC
TCGA-FX-A2QS-01	TCGA-FX-A2QS-01	0	SARC
TCGA-FX-A3NJ-01	TCGA-FX-A3NJ-01	0	SARC
TCGA-FX-A3RE-01	TCGA-FX-A3RE-01	0	SARC
TCGA-FX-A3TO-01	TCGA-FX-A3TO-01	0	SARC
TCGA-FX-A76Y-01	TCGA-FX-A76Y-01	0	SARC
TCGA-FX-A8OO-01	TCGA-FX-A8OO-01	0	SARC
TCGA-HB-A2OT-01	TCGA-HB-A2OT-01	0	SARC
TCGA-HB-A3L4-01	TCGA-HB-A3L4-01	0	SARC
TCGA-HB-A3YV-01	TCGA-HB-A3YV-01	0	SARC
TCGA-HB-A43Z-01	TCGA-HB-A43Z-01	0	SARC
TCGA-HB-A5W3-01	TCGA-HB-A5W3-01	0	SARC
TCGA-HS-A5N7-01	TCGA-HS-A5N7-01	0	SARC
TCGA-HS-A5N8-01	TCGA-HS-A5N8-01	0	SARC
TCGA-HS-A5N9-01	TCGA-HS-A5N9-01	0	SARC
TCGA-HS-A5NA-01	TCGA-HS-A5NA-01	0	SARC
TCGA-IE-A3OV-01	TCGA-IE-A3OV-01	0	SARC
TCGA-IE-A4EH-01	TCGA-IE-A4EH-01	0	SARC
TCGA-IE-A4EI-01	TCGA-IE-A4EI-01	0	SARC
TCGA-IE-A4EK-01	TCGA-IE-A4EK-01	0	SARC
TCGA-IF-A3RQ-01	TCGA-IF-A3RQ-01	0	SARC
TCGA-IF-A4AJ-01	TCGA-IF-A4AJ-01	0	SARC
TCGA-IS-A3K6-01	TCGA-IS-A3K6-01	0	SARC
TCGA-IS-A3K7-01	TCGA-IS-A3K7-01	0	SARC
TCGA-IS-A3K8-01	TCGA-IS-A3K8-01	0	SARC
TCGA-IS-A3KA-01	TCGA-IS-A3KA-01	0	SARC
TCGA-IW-A3M4-01	TCGA-IW-A3M4-01	0	SARC
TCGA-IW-A3M5-01	TCGA-IW-A3M5-01	0	SARC
TCGA-IW-A3M6-01	TCGA-IW-A3M6-01	0	SARC
TCGA-JV-A5VE-01	TCGA-JV-A5VE-01	0	SARC
TCGA-JV-A5VF-01	TCGA-JV-A5VF-01	0	SARC
TCGA-JV-A75J-01	TCGA-JV-A75J-01	0	SARC
TCGA-K1-A3PN-01	TCGA-K1-A3PN-01	0	SARC
TCGA-K1-A3PN-02	TCGA-K1-A3PN-02	0	SARC
TCGA-K1-A3PO-11	TCGA-K1-A3PO-11	0	SARC
TCGA-K1-A42W-01	TCGA-K1-A42W-01	0	SARC
TCGA-K1-A42X-02	TCGA-K1-A42X-02	0	SARC
TCGA-K1-A6RU-01	TCGA-K1-A6RU-01	0	SARC
TCGA-K1-A6RV-01	TCGA-K1-A6RV-01	0	SARC
TCGA-KD-A5QS-01	TCGA-KD-A5QS-01	0	SARC
TCGA-KD-A5QT-01	TCGA-KD-A5QT-01	0	SARC
