sample	samples	chr8:128220111-128221962:-	cancer type abbreviation
TCGA-63-A5MR-01	TCGA-63-A5MR-01	3.713	LUSC
TCGA-L5-A4OS-01	TCGA-L5-A4OS-01	3.712	ESCA
TCGA-CK-5912-01	TCGA-CK-5912-01	3.703	COAD
TCGA-3S-A8YW-01	TCGA-3S-A8YW-01	3.702	THYM
TCGA-LN-A49K-01	TCGA-LN-A49K-01	3.702	ESCA
TCGA-VQ-A8DU-01	TCGA-VQ-A8DU-01	3.7	STAD
TCGA-F5-6702-01	TCGA-F5-6702-01	3.7	READ
TCGA-O2-A52V-01	TCGA-O2-A52V-01	3.699	LUSC
TCGA-IN-A7NT-01	TCGA-IN-A7NT-01	3.696	STAD
TCGA-CN-6992-01	TCGA-CN-6992-01	3.696	HNSC
TCGA-22-5485-01	TCGA-22-5485-01	3.68	LUSC
TCGA-CV-A45W-01	TCGA-CV-A45W-01	3.68	HNSC
TCGA-AZ-6608-01	TCGA-AZ-6608-01	3.668	COAD
TCGA-56-8308-01	TCGA-56-8308-01	3.66	LUSC
TCGA-A6-5657-01	TCGA-A6-5657-01	3.65	COAD
TCGA-D7-8576-01	TCGA-D7-8576-01	3.649	STAD
TCGA-66-2777-01	TCGA-66-2777-01	3.645	LUSC
TCGA-BA-6869-01	TCGA-BA-6869-01	3.641	HNSC
TCGA-LN-A4A2-01	TCGA-LN-A4A2-01	3.641	ESCA
TCGA-AZ-6603-01	TCGA-AZ-6603-01	3.63	COAD
TCGA-39-5016-01	TCGA-39-5016-01	3.626	LUSC
TCGA-85-A4CN-01	TCGA-85-A4CN-01	3.624	LUSC
TCGA-58-A46M-01	TCGA-58-A46M-01	3.618	LUSC
TCGA-A6-A56B-01	TCGA-A6-A56B-01	3.618	COAD
TCGA-G4-6626-01	TCGA-G4-6626-01	3.616	COAD
TCGA-CM-6676-01	TCGA-CM-6676-01	3.615	COAD
TCGA-BR-4255-01	TCGA-BR-4255-01	3.607	STAD
TCGA-VQ-A8PJ-01	TCGA-VQ-A8PJ-01	3.599	STAD
TCGA-60-2708-01	TCGA-60-2708-01	3.598	LUSC
TCGA-60-2711-01	TCGA-60-2711-01	3.595	LUSC
TCGA-22-1012-01	TCGA-22-1012-01	3.587	LUSC
TCGA-UF-A71A-06	TCGA-UF-A71A-06	3.582	HNSC
TCGA-L5-A8NR-01	TCGA-L5-A8NR-01	3.581	ESCA
TCGA-18-3408-01	TCGA-18-3408-01	3.576	LUSC
TCGA-77-A5G7-01	TCGA-77-A5G7-01	3.574	LUSC
TCGA-XF-A9T6-01	TCGA-XF-A9T6-01	3.572	BLCA
TCGA-CC-5258-01	TCGA-CC-5258-01	3.566	LIHC
TCGA-IC-A6RF-01	TCGA-IC-A6RF-01	3.559	ESCA
TCGA-33-4538-01	TCGA-33-4538-01	3.55	LUSC
TCGA-AA-3496-01	TCGA-AA-3496-01	3.535	COAD
TCGA-FT-A3EE-01	TCGA-FT-A3EE-01	3.531	BLCA
TCGA-DC-5869-01	TCGA-DC-5869-01	3.528	READ
TCGA-HF-7131-01	TCGA-HF-7131-01	3.522	STAD
TCGA-68-A59J-01	TCGA-68-A59J-01	3.52	LUSC
TCGA-D7-8573-01	TCGA-D7-8573-01	3.516	STAD
TCGA-JY-A6FD-01	TCGA-JY-A6FD-01	3.515	ESCA
TCGA-AD-6548-01	TCGA-AD-6548-01	3.515	COAD
TCGA-63-A5MU-01	TCGA-63-A5MU-01	3.514	LUSC
TCGA-DM-A28G-01	TCGA-DM-A28G-01	3.512	COAD
TCGA-22-5491-01	TCGA-22-5491-01	3.51	LUSC
TCGA-56-7730-01	TCGA-56-7730-01	3.507	LUSC
TCGA-AG-3902-01	TCGA-AG-3902-01	3.501	READ
TCGA-DC-6682-01	TCGA-DC-6682-01	3.499	READ
TCGA-DC-6683-01	TCGA-DC-6683-01	3.497	READ
TCGA-R5-A7ZF-01	TCGA-R5-A7ZF-01	3.496	STAD
TCGA-B7-A5TK-01	TCGA-B7-A5TK-01	3.494	STAD
TCGA-CN-4731-01	TCGA-CN-4731-01	3.49	HNSC
TCGA-CI-6620-01	TCGA-CI-6620-01	3.487	READ
TCGA-BA-6871-01	TCGA-BA-6871-01	3.483	HNSC
TCGA-CM-6166-01	TCGA-CM-6166-01	3.481	COAD
TCGA-GU-A766-01	TCGA-GU-A766-01	3.477	BLCA
TCGA-44-6146-01	TCGA-44-6146-01	3.474	LUAD
TCGA-CK-4948-01	TCGA-CK-4948-01	3.464	COAD
TCGA-D5-7000-01	TCGA-D5-7000-01	3.463	COAD
TCGA-FP-A9TM-01	TCGA-FP-A9TM-01	3.461	STAD
TCGA-G4-6294-01	TCGA-G4-6294-01	3.46	COAD
TCGA-AA-A01Z-01	TCGA-AA-A01Z-01	3.456	COAD
TCGA-D5-6926-01	TCGA-D5-6926-01	3.456	COAD
TCGA-CV-A45Z-01	TCGA-CV-A45Z-01	3.448	HNSC
TCGA-BB-7862-01	TCGA-BB-7862-01	3.445	HNSC
TCGA-BR-6458-01	TCGA-BR-6458-01	3.441	STAD
TCGA-CN-5370-01	TCGA-CN-5370-01	3.435	HNSC
TCGA-77-8009-01	TCGA-77-8009-01	3.434	LUSC
TCGA-BR-8361-01	TCGA-BR-8361-01	3.433	STAD
TCGA-SW-A7EA-01	TCGA-SW-A7EA-01	3.429	STAD
TCGA-NH-A6GA-01	TCGA-NH-A6GA-01	3.428	COAD
TCGA-BR-A452-01	TCGA-BR-A452-01	3.419	STAD
TCGA-Z6-A9VB-01	TCGA-Z6-A9VB-01	3.418	ESCA
TCGA-AG-3742-01	TCGA-AG-3742-01	3.417	READ
TCGA-CM-4751-01	TCGA-CM-4751-01	3.417	COAD
TCGA-AF-A56L-01	TCGA-AF-A56L-01	3.415	READ
TCGA-60-2715-01	TCGA-60-2715-01	3.4	LUSC
TCGA-22-4605-01	TCGA-22-4605-01	3.395	LUSC
TCGA-LN-A4A4-01	TCGA-LN-A4A4-01	3.391	ESCA
TCGA-CM-6677-01	TCGA-CM-6677-01	3.39	COAD
TCGA-VQ-A94O-01	TCGA-VQ-A94O-01	3.385	STAD
TCGA-77-8156-01	TCGA-77-8156-01	3.379	LUSC
TCGA-AA-3495-01	TCGA-AA-3495-01	3.379	COAD
TCGA-AZ-6599-01	TCGA-AZ-6599-01	3.377	COAD
TCGA-DC-6681-01	TCGA-DC-6681-01	3.375	READ
TCGA-DM-A1D9-01	TCGA-DM-A1D9-01	3.373	COAD
TCGA-BB-A5HY-01	TCGA-BB-A5HY-01	3.369	HNSC
TCGA-AA-3511-01	TCGA-AA-3511-01	3.367	COAD
TCGA-AF-A56K-01	TCGA-AF-A56K-01	3.364	READ
TCGA-CM-6164-01	TCGA-CM-6164-01	3.364	COAD
TCGA-IB-7644-01	TCGA-IB-7644-01	3.359	PAAD
TCGA-CA-6719-01	TCGA-CA-6719-01	3.359	COAD
TCGA-HU-A4H2-01	TCGA-HU-A4H2-01	3.358	STAD
TCGA-A6-2684-01	TCGA-A6-2684-01	3.355	COAD
TCGA-AH-6903-01	TCGA-AH-6903-01	3.354	READ
TCGA-CV-7418-01	TCGA-CV-7418-01	3.346	HNSC
TCGA-90-7769-01	TCGA-90-7769-01	3.345	LUSC
TCGA-CV-7424-01	TCGA-CV-7424-01	3.345	HNSC
TCGA-VS-A8EC-01	TCGA-VS-A8EC-01	3.344	CESC
TCGA-R6-A6DQ-01	TCGA-R6-A6DQ-01	3.342	ESCA
TCGA-A6-6137-01	TCGA-A6-6137-01	3.342	COAD
TCGA-66-2787-01	TCGA-66-2787-01	3.338	LUSC
TCGA-79-5596-01	TCGA-79-5596-01	3.338	LUSC
TCGA-51-4079-01	TCGA-51-4079-01	3.334	LUSC
TCGA-85-8276-01	TCGA-85-8276-01	3.332	LUSC
TCGA-AD-6965-01	TCGA-AD-6965-01	3.326	COAD
TCGA-HU-8604-01	TCGA-HU-8604-01	3.325	STAD
TCGA-DK-A3IN-01	TCGA-DK-A3IN-01	3.321	BLCA
TCGA-CU-A0YR-01	TCGA-CU-A0YR-01	3.316	BLCA
TCGA-F2-A44G-01	TCGA-F2-A44G-01	3.31	PAAD
TCGA-VQ-A91N-01	TCGA-VQ-A91N-01	3.303	STAD
TCGA-DY-A0XA-01	TCGA-DY-A0XA-01	3.303	READ
TCGA-VR-A8EZ-01	TCGA-VR-A8EZ-01	3.303	ESCA
TCGA-F5-6810-01	TCGA-F5-6810-01	3.302	
TCGA-CC-A3MB-01	TCGA-CC-A3MB-01	3.299	LIHC
TCGA-G4-6317-01	TCGA-G4-6317-01	3.297	COAD
